image_path,filename,true_level,predicted_level,confidence,analysis_time,stage_scores,success,error
C:\Users\301\Desktop\test_data_set\test\2\20240207051218k0Ayjg_jpg.rf.5ca21e5a6187c36f86f823b532009587.jpg,20240207051218k0Ayjg_jpg.rf.5ca21e5a6187c36f86f823b532009587.jpg,2,3,0.8,7.115978479385376,"{'1': 0.72, '2': 0.098, '3': 0.182}",True,
C:\Users\301\Desktop\test_data_set\test\2\20240106121506HtPoQC_jpg.rf.cadedd2a52e97a75ad530554d1a3a58e.jpg,20240106121506HtPoQC_jpg.rf.cadedd2a52e97a75ad530554d1a3a58e.jpg,2,5,0.85,5.646173000335693,{'1': 1.0},True,
C:\Users\301\Desktop\test_data_set\test\2\20240426114804vEJvCL_jpg.rf.e8b208c0e3afd026da67dc6b206f33b1.jpg,20240426114804vEJvCL_jpg.rf.e8b208c0e3afd026da67dc6b206f33b1.jpg,2,3,0.78,6.507544040679932,"{'1': 0.803, '3': 0.197}",True,
C:\Users\301\Desktop\test_data_set\test\2\20240219045157mzVfj7_jpg.rf.c9b45d0874181d11613377e6b334a901.jpg,20240219045157mzVfj7_jpg.rf.c9b45d0874181d11613377e6b334a901.jpg,2,1,0.8,5.737973213195801,"{'1': 0.804, '3': 0.103, '4': 0.093}",True,
C:\Users\301\Desktop\test_data_set\test\2\20231130095830aHEvMd_jpg.rf.d9b2f9314d2120498c24129616d8006c.jpg,20231130095830aHEvMd_jpg.rf.d9b2f9314d2120498c24129616d8006c.jpg,2,3,0.8,7.079050064086914,"{'1': 0.715, '3': 0.097, '2': 0.188}",True,
C:\Users\301\Desktop\test_data_set\test\2\20240306093756Nxspmr_jpg.rf.520a1e540048254439e49edc6e72083d.jpg,20240306093756Nxspmr_jpg.rf.520a1e540048254439e49edc6e72083d.jpg,2,2,0.75,6.363337278366089,{'1': 1.0},True,
C:\Users\301\Desktop\test_data_set\test\2\20240110043329FdhNwV_jpg.rf.99fcefece4cc66515201f00abaeb8e48.jpg,20240110043329FdhNwV_jpg.rf.99fcefece4cc66515201f00abaeb8e48.jpg,2,2,0.75,5.0532615184783936,{'1': 1.0},True,
C:\Users\301\Desktop\test_data_set\test\2\202402291538061tgGTo_jpg.rf.71225fb0ca131e1423c872fa6cb00d22.jpg,202402291538061tgGTo_jpg.rf.71225fb0ca131e1423c872fa6cb00d22.jpg,2,4,0.85,5.338209629058838,{'1': 1.0},True,
C:\Users\301\Desktop\test_data_set\test\2\20231222094424akH8Au_jpg.rf.cb2c90ea14b4ec3aa056d435ea661e2b.jpg,20231222094424akH8Au_jpg.rf.cb2c90ea14b4ec3aa056d435ea661e2b.jpg,2,4,0.85,5.67622184753418,"{'1': 0.901, '3': 0.099}",True,
C:\Users\301\Desktop\test_data_set\test\2\20240130072349uniDRh_jpg.rf.f943e9a84d533634fab73140c6a126d5.jpg,20240130072349uniDRh_jpg.rf.f943e9a84d533634fab73140c6a126d5.jpg,2,2,0.75,6.356940269470215,{'1': 1.0},True,
C:\Users\301\Desktop\test_data_set\test\2\20231224074531ch8RvS_jpg.rf.a2bc429ffd23cfcbb137b75f037d0804.jpg,20231224074531ch8RvS_jpg.rf.a2bc429ffd23cfcbb137b75f037d0804.jpg,2,3,0.8,6.149910926818848,"{'1': 0.717, '3': 0.188, '2': 0.095}",True,
C:\Users\301\Desktop\test_data_set\test\2\20231231043028Q46NRr_jpg.rf.0227684b9bed2f5914efa7465b14b7b1.jpg,20231231043028Q46NRr_jpg.rf.0227684b9bed2f5914efa7465b14b7b1.jpg,2,2,0.75,6.6774961948394775,{'1': 1.0},True,
C:\Users\301\Desktop\test_data_set\test\2\20240224194300kOjsFD_jpg.rf.0c13fa04922a01749826cec6cc657c47.jpg,20240224194300kOjsFD_jpg.rf.0c13fa04922a01749826cec6cc657c47.jpg,2,2,0.75,6.835704803466797,{'1': 1.0},True,
C:\Users\301\Desktop\test_data_set\test\2\20240422192617LNrK9O_jpg.rf.4efd92c9f17ab9391444755665005c57.jpg,20240422192617LNrK9O_jpg.rf.4efd92c9f17ab9391444755665005c57.jpg,2,6,0.85,7.266635179519653,{'1': 1.0},True,
