image_path,filename,true_stage,pred_stage,probs,tta_method,viewpoint,scales_used,conv_scales,vit_scales
C:\Users\301\Desktop\classification_test\level_2\1-Left_jpg.rf.6bc2f4b4c055fe1c23be4d36a8b8f6ef.jpg,1-Left_jpg.rf.6bc2f4b4c055fe1c23be4d36a8b8f6ef.jpg,2,2,"[0.5533163319967171, 0.24381441905013979, 0.20286924895314307, 0.0, 0.0, 0.0]",multiscale_tta,left,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_2\1-Left_jpg.rf.b92bacf8de3efbbc3f361d9f46fd138f.jpg,1-Left_jpg.rf.b92bacf8de3efbbc3f361d9f46fd138f.jpg,2,3,"[0.14276209810931031, 0.5248201342533662, 0.04941320493070288, 0.0, 0.2830045627066208, 0.0]",multiscale_tta,left,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_2\1-Left_jpg.rf.e8f9f4c6b4b8d97e4d90f3c0008e0944.jpg,1-Left_jpg.rf.e8f9f4c6b4b8d97e4d90f3c0008e0944.jpg,2,2,"[0.5965561010346635, 0.2171316760741631, 0.18631222289117338, 0.0, 0.0, 0.0]",multiscale_tta,left,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_2\1-Top-Down_jpg.rf.0e66e06d513256dad94cdf8584cdfd74.jpg,1-Top-Down_jpg.rf.0e66e06d513256dad94cdf8584cdfd74.jpg,2,4,"[0.11802243511860129, 0.0, 0.8819775648813987, 0.0, 0.0, 0.0]",multiscale_tta,top-down,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_2\1-Top-Down_jpg.rf.26b83dbd8205a591dc655394e4f64392.jpg,1-Top-Down_jpg.rf.26b83dbd8205a591dc655394e4f64392.jpg,2,2,"[0.8826305457568578, 0.11736945424314209, 0.0, 0.0, 0.0, 0.0]",multiscale_tta,top-down,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_2\1-Top-Down_jpg.rf.cf9def7d3b460ba1766b35487aca1214.jpg,1-Top-Down_jpg.rf.cf9def7d3b460ba1766b35487aca1214.jpg,2,2,"[0.6497667710096392, 0.0, 0.2545812075243168, 0.09565202146604394, 0.0, 0.0]",multiscale_tta,top-down,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_2\17-Front_jpg.rf.09d799a68cabda5c5cea7137eb29d1dd.jpg,17-Front_jpg.rf.09d799a68cabda5c5cea7137eb29d1dd.jpg,2,2,"[0.5934872090994108, 0.048513098024281893, 0.3035485417983242, 0.0, 0.0, 0.054451151077983005]",multiscale_tta,front,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_2\17-Front_jpg.rf.b2507c1b95bf8ce0a7151b2a06c13b90.jpg,17-Front_jpg.rf.b2507c1b95bf8ce0a7151b2a06c13b90.jpg,2,2,"[0.70090832070155, 0.1417450919377087, 0.0, 0.04789265851126371, 0.10945392884947751, 0.0]",multiscale_tta,front,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_2\17-Front_jpg.rf.c168c07448f0283b292af97c9de2054c.jpg,17-Front_jpg.rf.c168c07448f0283b292af97c9de2054c.jpg,2,2,"[0.644397613802878, 0.2535615809473563, 0.10204080524976566, 0.0, 0.0, 0.0]",multiscale_tta,front,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_2\17-Right_jpg.rf.4317c207e3e74c60f527468c32a5ec36.jpg,17-Right_jpg.rf.4317c207e3e74c60f527468c32a5ec36.jpg,2,2,"[0.9134246924632831, 0.05112037549408128, 0.0, 0.0, 0.035454932042635535, 0.0]",multiscale_tta,right,"[256, 384]","[256, 384]",[224]
