image_path,filename,viewpoint,true_level,predicted_level,confidence,analysis_time,stage_scores,success,error
C:\Users\301\Desktop\test_data_set_all_pointview\level_2\LEVEL_2\3-Left_jpg.rf.71bd5245375518d053cafe1e6d00b009.jpg,3-Left_jpg.rf.71bd5245375518d053cafe1e6d00b009.jpg,left,2,2.0,0.509,3.2484846115112305,"{'2.0': 0.509, '3.0': 0.294, '4.0': 0.196}",True,
C:\Users\301\Desktop\test_data_set_all_pointview\level_2\LEVEL_2\22-Front_jpg.rf.1e3c0aca2be9e864cb6fe293c107f5a2.jpg,22-Front_jpg.rf.1e3c0aca2be9e864cb6fe293c107f5a2.jpg,front,2,2.0,0.506,1.8465921878814697,"{'2.0': 0.506, '5.0': 0.204, '4.0': 0.097, '7.0': 0.192}",True,
C:\Users\301\Desktop\test_data_set_all_pointview\level_2\LEVEL_2\1-Left_jpg.rf.b92bacf8de3efbbc3f361d9f46fd138f.jpg,1-Left_jpg.rf.b92bacf8de3efbbc3f361d9f46fd138f.jpg,left,2,3.0,0.605,1.8300390243530273,"{'3.0': 0.605, '2.0': 0.395}",True,
C:\Users\301\Desktop\test_data_set_all_pointview\level_2\LEVEL_2\17-Right_jpg.rf.dc63da48e2e5f193db4924bbfa752f3c.jpg,17-Right_jpg.rf.dc63da48e2e5f193db4924bbfa752f3c.jpg,right,2,2.0,0.728,1.9066965579986572,"{'2.0': 0.728, '3.0': 0.272}",True,
C:\Users\301\Desktop\test_data_set_all_pointview\level_2\LEVEL_2\17-Right_jpg.rf.782c2bb91f35e43fb8eaf052b5574d8a.jpg,17-Right_jpg.rf.782c2bb91f35e43fb8eaf052b5574d8a.jpg,right,2,2.0,0.454,1.7930119037628174,"{'2.0': 0.454, '7.0': 0.092, '5.0': 0.364, '3.0': 0.09}",True,
C:\Users\301\Desktop\test_data_set_all_pointview\level_2\LEVEL_2\1-Top-Down_jpg.rf.0e66e06d513256dad94cdf8584cdfd74.jpg,1-Top-Down_jpg.rf.0e66e06d513256dad94cdf8584cdfd74.jpg,top-down,2,1.0,0.904,1.8363702297210693,"{'1.0': 0.904, '2.0': 0.096}",True,
C:\Users\301\Desktop\test_data_set_all_pointview\level_2\LEVEL_2\21-Front_jpg.rf.1dcd2eef5acfbccfa3e3a939a040d594.jpg,21-Front_jpg.rf.1dcd2eef5acfbccfa3e3a939a040d594.jpg,front,2,2.0,0.395,1.8608307838439941,"{'5.0': 0.302, '4.0': 0.103, '6.0': 0.101, '7.0': 0.1, '2.0': 0.395}",True,
C:\Users\301\Desktop\test_data_set_all_pointview\level_2\LEVEL_2\17-Front_jpg.rf.09d799a68cabda5c5cea7137eb29d1dd.jpg,17-Front_jpg.rf.09d799a68cabda5c5cea7137eb29d1dd.jpg,front,2,2.0,0.516,1.7976624965667725,"{'2.0': 0.516, '7.0': 0.097, '3.0': 0.194, '4.0': 0.192}",True,
C:\Users\301\Desktop\test_data_set_all_pointview\level_2\LEVEL_2\1-Left_jpg.rf.6bc2f4b4c055fe1c23be4d36a8b8f6ef.jpg,1-Left_jpg.rf.6bc2f4b4c055fe1c23be4d36a8b8f6ef.jpg,left,2,2.0,0.502,1.780651330947876,"{'2.0': 0.502, '4.0': 0.201, '3.0': 0.297}",True,
C:\Users\301\Desktop\test_data_set_all_pointview\level_2\LEVEL_2\17-Front_jpg.rf.b2507c1b95bf8ce0a7151b2a06c13b90.jpg,17-Front_jpg.rf.b2507c1b95bf8ce0a7151b2a06c13b90.jpg,front,2,2.0,0.707,1.8266661167144775,"{'2.0': 0.707, '6.0': 0.198, '4.0': 0.095}",True,
C:\Users\301\Desktop\test_data_set_all_pointview\level_2\LEVEL_2\21-Left_jpg.rf.461c7d75ddb2d9be9b7ef460924a1293.jpg,21-Left_jpg.rf.461c7d75ddb2d9be9b7ef460924a1293.jpg,left,2,2.0,0.418,1.8417749404907227,"{'2.0': 0.418, '6.0': 0.39, '3.0': 0.096, '7.0': 0.096}",True,
C:\Users\301\Desktop\test_data_set_all_pointview\level_2\LEVEL_2\23-Back_jpg.rf.f73e9b9334c150c171b5b0fd845ba3b6.jpg,23-Back_jpg.rf.f73e9b9334c150c171b5b0fd845ba3b6.jpg,back,2,4.0,0.304,1.7791950702667236,"{'4.0': 0.304, '6.0': 0.101, '2.0': 0.302, '3.0': 0.293}",True,
C:\Users\301\Desktop\test_data_set_all_pointview\level_2\LEVEL_2\31-Back_jpg.rf.00996daa3039cfa7e008118ac2758ed5.jpg,31-Back_jpg.rf.00996daa3039cfa7e008118ac2758ed5.jpg,back,2,2.0,0.498,1.781973123550415,"{'5.0': 0.103, '3.0': 0.399, '2.0': 0.498}",True,
C:\Users\301\Desktop\test_data_set_all_pointview\level_2\LEVEL_2\24-Right_jpg.rf.42d74a251bda8cf36b85dd15c89e7199.jpg,24-Right_jpg.rf.42d74a251bda8cf36b85dd15c89e7199.jpg,right,2,2.0,0.727,1.7920536994934082,"{'2.0': 0.727, '6.0': 0.183, '3.0': 0.091}",True,
C:\Users\301\Desktop\test_data_set_all_pointview\level_2\LEVEL_2\21-Left_jpg.rf.fbff44360bc0d3a9a3c066ef29f68924.jpg,21-Left_jpg.rf.fbff44360bc0d3a9a3c066ef29f68924.jpg,left,2,6.0,0.596,1.7932429313659668,"{'2.0': 0.113, '6.0': 0.596, '3.0': 0.292}",True,
C:\Users\301\Desktop\test_data_set_all_pointview\level_2\LEVEL_2\24-Right_jpg.rf.e3405941b461a5f9505a94f7b0a5c3ed.jpg,24-Right_jpg.rf.e3405941b461a5f9505a94f7b0a5c3ed.jpg,right,2,6.0,0.495,1.8807365894317627,"{'2.0': 0.211, '6.0': 0.495, '3.0': 0.199, '7.0': 0.095}",True,
C:\Users\301\Desktop\test_data_set_all_pointview\level_2\LEVEL_2\28-Left_jpg.rf.ce00ccbe8f9f8e2d313ab291eaa58dd5.jpg,28-Left_jpg.rf.ce00ccbe8f9f8e2d313ab291eaa58dd5.jpg,left,2,2.0,0.606,1.7911286354064941,"{'2.0': 0.606, '3.0': 0.199, '6.0': 0.195}",True,
C:\Users\301\Desktop\test_data_set_all_pointview\level_2\LEVEL_2\22-Front_jpg.rf.4eb63963f488e057de5a99bdefbb6863.jpg,22-Front_jpg.rf.4eb63963f488e057de5a99bdefbb6863.jpg,front,2,2.0,0.398,1.8428592681884766,"{'5.0': 0.305, '2.0': 0.398, '4.0': 0.201, '7.0': 0.096}",True,
C:\Users\301\Desktop\test_data_set_all_pointview\level_2\LEVEL_2\21-Top-Down_jpg.rf.5e9f52d1b957ad591db8edac1b6774df.jpg,21-Top-Down_jpg.rf.5e9f52d1b957ad591db8edac1b6774df.jpg,top-down,2,2.0,0.597,1.8164570331573486,"{'5.0': 0.303, '2.0': 0.597, '4.0': 0.1}",True,
C:\Users\301\Desktop\test_data_set_all_pointview\level_2\LEVEL_2\1-Left_jpg.rf.e8f9f4c6b4b8d97e4d90f3c0008e0944.jpg,1-Left_jpg.rf.e8f9f4c6b4b8d97e4d90f3c0008e0944.jpg,left,2,2.0,0.719,1.8265671730041504,"{'2.0': 0.719, '3.0': 0.281}",True,
C:\Users\301\Desktop\test_data_set_all_pointview\level_3\LEVEL_3\48-Back_jpg.rf.e0aaccfcf91cbf2c8aa72ef7b2a06b29.jpg,48-Back_jpg.rf.e0aaccfcf91cbf2c8aa72ef7b2a06b29.jpg,back,3,2.0,0.496,1.8508381843566895,"{'5.0': 0.306, '3.0': 0.1, '2.0': 0.496, '6.0': 0.098}",True,
C:\Users\301\Desktop\test_data_set_all_pointview\level_3\LEVEL_3\34-Front_jpg.rf.a34d0e21716d9be914d9cf8c606f7eb6.jpg,34-Front_jpg.rf.a34d0e21716d9be914d9cf8c606f7eb6.jpg,front,3,2.0,0.398,1.7714452743530273,"{'4.0': 0.102, '6.0': 0.204, '2.0': 0.398, '5.0': 0.099, '3.0': 0.197}",True,
C:\Users\301\Desktop\test_data_set_all_pointview\level_3\LEVEL_3\2-Front_jpg.rf.f61274d0cbfe1240946f1138121ed3a4.jpg,2-Front_jpg.rf.f61274d0cbfe1240946f1138121ed3a4.jpg,front,3,2.0,0.415,1.8245978355407715,"{'2.0': 0.415, '7.0': 0.103, '5.0': 0.386, '4.0': 0.096}",True,
C:\Users\301\Desktop\test_data_set_all_pointview\level_3\LEVEL_3\36-Right_jpg.rf.eb4fde08dab74780eec39c64e777ff78.jpg,36-Right_jpg.rf.eb4fde08dab74780eec39c64e777ff78.jpg,right,3,5.0,0.294,1.7963786125183105,"{'3.0': 0.113, '4.0': 0.199, '6.0': 0.202, '5.0': 0.294, '2.0': 0.192}",True,
C:\Users\301\Desktop\test_data_set_all_pointview\level_3\LEVEL_3\23-Left_jpg.rf.bad5f473d56a0252a812237f2594cbf1.jpg,23-Left_jpg.rf.bad5f473d56a0252a812237f2594cbf1.jpg,left,3,6.0,0.298,1.8218364715576172,"{'3.0': 0.106, '6.0': 0.298, '7.0': 0.201, '5.0': 0.198, '2.0': 0.197}",True,
C:\Users\301\Desktop\test_data_set_all_pointview\level_3\LEVEL_3\34-Front_jpg.rf.56ca339ccf5e3b03d40bcdb466a0bcd6.jpg,34-Front_jpg.rf.56ca339ccf5e3b03d40bcdb466a0bcd6.jpg,front,3,2.0,0.603,1.7933216094970703,"{'2.0': 0.603, '4.0': 0.102, '6.0': 0.197, '3.0': 0.098}",True,
C:\Users\301\Desktop\test_data_set_all_pointview\level_3\LEVEL_3\17-Front_jpg.rf.eefaab033d690dd5177ab049637d23b2.jpg,17-Front_jpg.rf.eefaab033d690dd5177ab049637d23b2.jpg,front,3,6.0,0.395,1.7953872680664062,"{'4.0': 0.304, '5.0': 0.101, '6.0': 0.395, '3.0': 0.2}",True,
C:\Users\301\Desktop\test_data_set_all_pointview\level_3\LEVEL_3\14-Top-Down_jpg.rf.6b957da4a7dd73e8eac9170e95803c92.jpg,14-Top-Down_jpg.rf.6b957da4a7dd73e8eac9170e95803c92.jpg,top-down,3,3.0,0.702,1.7582054138183594,"{'3.0': 0.702, '4.0': 0.298}",True,
C:\Users\301\Desktop\test_data_set_all_pointview\level_3\LEVEL_3\40-Back_jpg.rf.0b70a389ac8dc8581e710fd6aacf16e0.jpg,40-Back_jpg.rf.0b70a389ac8dc8581e710fd6aacf16e0.jpg,back,3,2.0,0.694,1.8267371654510498,"{'3.0': 0.211, '2.0': 0.694, '4.0': 0.096}",True,
C:\Users\301\Desktop\test_data_set_all_pointview\level_3\LEVEL_3\23-Front_jpg.rf.c380c2deeb81c8605653c3efc9fb4465.jpg,23-Front_jpg.rf.c380c2deeb81c8605653c3efc9fb4465.jpg,front,3,4.0,0.298,1.7606570720672607,"{'5.0': 0.102, '7.0': 0.201, '4.0': 0.298, '3.0': 0.2, '2.0': 0.199}",True,
C:\Users\301\Desktop\test_data_set_all_pointview\level_3\LEVEL_3\4-Left_jpg.rf.891684e9f476f68a5ec1e451ca1421d0.jpg,4-Left_jpg.rf.891684e9f476f68a5ec1e451ca1421d0.jpg,left,3,2.0,0.389,1.7957563400268555,"{'3.0': 0.112, '4.0': 0.207, '2.0': 0.389, '7.0': 0.196, '6.0': 0.096}",True,
C:\Users\301\Desktop\test_data_set_all_pointview\level_3\LEVEL_3\40-Back_jpg.rf.d44ad18a54c0f184792130cd8cafb033.jpg,40-Back_jpg.rf.d44ad18a54c0f184792130cd8cafb033.jpg,back,3,1.0,0.595,1.772439956665039,"{'3.0': 0.118, '1.0': 0.595, '2.0': 0.288}",True,
C:\Users\301\Desktop\test_data_set_all_pointview\level_3\LEVEL_3\34-Front_jpg.rf.c4e0b686ec9b0f1a9a5aac014084a799.jpg,34-Front_jpg.rf.c4e0b686ec9b0f1a9a5aac014084a799.jpg,front,3,3.0,0.505,1.827301263809204,"{'3.0': 0.505, '2.0': 0.397, '4.0': 0.099}",True,
C:\Users\301\Desktop\test_data_set_all_pointview\level_3\LEVEL_3\57-Top-Down_jpg.rf.3b07eedb8f705c4b11494ff766873e81.jpg,57-Top-Down_jpg.rf.3b07eedb8f705c4b11494ff766873e81.jpg,top-down,3,3.0,0.601,1.890355110168457,"{'3.0': 0.601, '4.0': 0.101, '2.0': 0.298}",True,
C:\Users\301\Desktop\test_data_set_all_pointview\level_3\LEVEL_3\48-Back_jpg.rf.91f76cfe9c32739456da36d7a0bcd942.jpg,48-Back_jpg.rf.91f76cfe9c32739456da36d7a0bcd942.jpg,back,3,2.0,0.897,1.8602042198181152,"{'5.0': 0.103, '2.0': 0.897}",True,
C:\Users\301\Desktop\test_data_set_all_pointview\level_3\LEVEL_3\2-Front_jpg.rf.221c657f453018f17e2c1a93d494afe2.jpg,2-Front_jpg.rf.221c657f453018f17e2c1a93d494afe2.jpg,front,3,2.0,0.503,1.8096394538879395,"{'2.0': 0.503, '7.0': 0.202, '5.0': 0.295}",True,
C:\Users\301\Desktop\test_data_set_all_pointview\level_3\LEVEL_3\17-Front_jpg.rf.4572009f1e7ce5a229e4d1a677d2ef62.jpg,17-Front_jpg.rf.4572009f1e7ce5a229e4d1a677d2ef62.jpg,front,3,5.0,0.301,1.8745577335357666,"{'6.0': 0.202, '5.0': 0.301, '7.0': 0.205, '4.0': 0.101, '3.0': 0.192}",True,
C:\Users\301\Desktop\test_data_set_all_pointview\level_3\LEVEL_3\2-Front_jpg.rf.ae37cf05d05732bce5439cf7cf132170.jpg,2-Front_jpg.rf.ae37cf05d05732bce5439cf7cf132170.jpg,front,3,5.0,0.314,1.8157880306243896,"{'5.0': 0.314, '7.0': 0.293, '4.0': 0.198, '2.0': 0.196}",True,
C:\Users\301\Desktop\test_data_set_all_pointview\level_3\LEVEL_3\36-Right_jpg.rf.6e0a15d5a3920bf0818422a9215f5944.jpg,36-Right_jpg.rf.6e0a15d5a3920bf0818422a9215f5944.jpg,right,3,4.0,0.398,1.7808349132537842,"{'5.0': 0.304, '4.0': 0.398, '3.0': 0.199, '6.0': 0.099}",True,
C:\Users\301\Desktop\test_data_set_all_pointview\level_3\LEVEL_3\38-Front_jpg.rf.f383f763c3f966e204b60ea97257d033.jpg,38-Front_jpg.rf.f383f763c3f966e204b60ea97257d033.jpg,front,3,2.0,0.513,1.8403046131134033,"{'2.0': 0.513, '6.0': 0.295, '4.0': 0.096, '5.0': 0.096}",True,
