success,api_status,filename,image_path,true_level,predicted_stage,gemini_stage_raw,gemini_title,gemini_description,analysis_time
True,200,20231109103954UbVvLx_jpg.rf.08bf8f0253ff6ec4a392e60407a7ca05.jpg,C:\Users\301\Desktop\test_data_set\test\2\20231109103954UbVvLx_jpg.rf.08bf8f0253ff6ec4a392e60407a7ca05.jpg,2,3,1,초기 탈모,"정수리 부분의 모발 밀도가 감소되어 보입니다. 아직 심각한 단계는 아니지만, 탈모가 진행되고 있는 초기 단계로 보입니다. 모발이 가늘어지고 두피가 더 잘 보이는 현상이 나타나고 있습니다.",4.813246488571167
True,200,20231110070141qEi5wm_jpg.rf.20af76796b05405ce043227831af11b2.jpg,C:\Users\301\Desktop\test_data_set\test\2\20231110070141qEi5wm_jpg.rf.20af76796b05405ce043227831af11b2.jpg,2,3,1,초기 탈모 의심,"두피가 부분적으로 드러나 보이는 부분이 있으며, 모발의 밀도가 감소하고 가늘어진 것으로 보입니다. 하지만 전체적인 모발 분포는 아직 유지되고 있습니다. 정확한 진단을 위해서는 더 명확한 사진과 추가 정보가 필요합니다.",3.923780679702759
True,200,20231122070433psAfzt_jpg.rf.a7efa27e390c92f2fc5a03788ccc1b8d.jpg,C:\Users\301\Desktop\test_data_set\test\2\20231122070433psAfzt_jpg.rf.a7efa27e390c92f2fc5a03788ccc1b8d.jpg,2,3,1,초기 탈모,"정수리 부분의 모발 밀도가 감소하기 시작했으며, 모발이 가늘어진 것으로 보입니다. 아직 눈에 띄는 탈모는 아니지만, 초기 단계로 진행 중인 것으로 판단됩니다.",4.387629747390747
True,200,20231130095830aHEvMd_jpg.rf.d9b2f9314d2120498c24129616d8006c.jpg,C:\Users\301\Desktop\test_data_set\test\2\20231130095830aHEvMd_jpg.rf.d9b2f9314d2120498c24129616d8006c.jpg,2,3,1,초기 탈모,"정수리 부분의 모발 밀도가 감소하고 두피가 부분적으로 보이기 시작하는 초기 탈모 단계로 보입니다. 아직 심각한 수준은 아니지만, 탈모 관리를 시작해야 하는 시점입니다.",4.409807443618774
True,200,20231206043710OotqJs_jpg.rf.621d16a36fabb45a838cf73543a26577.jpg,C:\Users\301\Desktop\test_data_set\test\2\20231206043710OotqJs_jpg.rf.621d16a36fabb45a838cf73543a26577.jpg,2,3,1,초기 탈모,"정수리 부분의 모발 밀도가 감소하고 두피가 약간 비쳐 보이는 초기 탈모 단계로 보입니다. 아직 전체적인 모발량은 많아 보이지만, 정수리 부분을 중심으로 탈모가 진행되고 있는 것으로 추정됩니다.",4.73331093788147
True,200,20231222075010HDRqwK_jpg.rf.4e412fcbb2778e7599376a1cdd92cc7b.jpg,C:\Users\301\Desktop\test_data_set\test\2\20231222075010HDRqwK_jpg.rf.4e412fcbb2778e7599376a1cdd92cc7b.jpg,2,3,1,초기 탈모,"정수리 부분의 모발 밀도 감소가 관찰됩니다. 두피가 부분적으로 비쳐 보이는 초기 단계로 보입니다. 전체적인 모발량은 아직 많이 줄어들지 않았지만, 가르마 부분을 중심으로 탈모가 진행되고 있는 것으로 판단됩니다.",4.694010972976685
True,200,20231222094424akH8Au_jpg.rf.cb2c90ea14b4ec3aa056d435ea661e2b.jpg,C:\Users\301\Desktop\test_data_set\test\2\20231222094424akH8Au_jpg.rf.cb2c90ea14b4ec3aa056d435ea661e2b.jpg,2,3,1,초기 탈모,정수리 부분의 모발 밀도 감소가 관찰됩니다. 전체적으로 모발이 가늘어지고 두피가 부분적으로 비쳐 보이는 초기 탈모 단계로 판단됩니다.,3.3740835189819336
True,200,20231224074531ch8RvS_jpg.rf.a2bc429ffd23cfcbb137b75f037d0804.jpg,C:\Users\301\Desktop\test_data_set\test\2\20231224074531ch8RvS_jpg.rf.a2bc429ffd23cfcbb137b75f037d0804.jpg,2,3,1,초기 탈모,"정수리 부분의 모발 밀도가 감소하고 두피가 부분적으로 보이기 시작하는 초기 탈모 단계로 보입니다. 전체적인 모발량은 아직 많이 줄어들지 않았지만, 정수리 부분을 중심으로 탈모가 진행되고 있는 것으로 판단됩니다.",5.142730474472046
True,200,20231224091924onQUTB_jpg.rf.0f83fa7708ed4d0defb85bcb27c20a6e.jpg,C:\Users\301\Desktop\test_data_set\test\2\20231224091924onQUTB_jpg.rf.0f83fa7708ed4d0defb85bcb27c20a6e.jpg,2,3,1,초기 탈모,"두피 가르마 부분의 모발 밀도가 감소되어 보입니다. 전체적으로 모발이 가늘어진 현상은 아직 뚜렷하지 않지만, 가르마 부분을 중심으로 모발이 적어 보이는 초기 탈모 증상을 보입니다. 사진의 화질이 좋지 않아 정확한 진단은 어려우나, 조명에 의한 것인지 탈모인지 명확하지 않습니다.",7.408742666244507
True,200,20231224145323tlJNT7_jpg.rf.a0f8b009f18cdca339276c7ea92fc5dd.jpg,C:\Users\301\Desktop\test_data_set\test\2\20231224145323tlJNT7_jpg.rf.a0f8b009f18cdca339276c7ea92fc5dd.jpg,2,3,1,초기 탈모 가능성,"헤어스타일로 인해 정확한 진단은 어려우나, 정수리 부분의 모발 밀도가 다소 낮아 보입니다. 이는 초기 탈모의 가능성을 시사할 수 있습니다. 하지만 조명이나 사진 각도의 영향일 수도 있으므로 더 명확한 진단을 위해서는 추가적인 정보 및 검사가 필요합니다.",5.120086193084717
True,200,20231225045824PLLwSq_rgbshift_jpg.rf.6f9be6c655b371b35e1053761d7b6626.jpg,C:\Users\301\Desktop\test_data_set\test\2\20231225045824PLLwSq_rgbshift_jpg.rf.6f9be6c655b371b35e1053761d7b6626.jpg,2,3,1,초기 탈모,정수리 부분의 모발 밀도 감소가 관찰됩니다. 전체적으로 모발이 가늘어지고 있는 초기 단계로 보입니다.,3.465343952178955
True,200,20231225045824PLLwSq_sepia_jpg.rf.2f8315ce1666177e6f761a2b847eee43.jpg,C:\Users\301\Desktop\test_data_set\test\2\20231225045824PLLwSq_sepia_jpg.rf.2f8315ce1666177e6f761a2b847eee43.jpg,2,2,0,정상 두피,"탈모의 징후가 보이지 않는 건강한 두피입니다. 모발의 밀도가 적절하고, 두피도 깨끗해 보입니다.",3.8327016830444336
True,200,20231225162717mMHTF1_jpg.rf.4024fbbff8cbaa9f0f8ec8ab6e5ffb05.jpg,C:\Users\301\Desktop\test_data_set\test\2\20231225162717mMHTF1_jpg.rf.4024fbbff8cbaa9f0f8ec8ab6e5ffb05.jpg,2,3,1,초기 탈모,"정수리 부분의 모발 밀도가 감소하고 두피가 부분적으로 비쳐 보이는 초기 탈모 단계로 진행 중입니다. 아직 전체적인 모발량은 많아 보이지만, 해당 부위의 탈모 진행을 늦추기 위한 관리가 필요합니다.",4.532130479812622
True,200,20231227124154haqhNM_jpg.rf.e9d696a94c5bdaa6e21a27812c01cd9c.jpg,C:\Users\301\Desktop\test_data_set\test\2\20231227124154haqhNM_jpg.rf.e9d696a94c5bdaa6e21a27812c01cd9c.jpg,2,3,1,초기 탈모,"두피 중앙 부분의 모발 밀도가 감소하고 있으며, 모발이 가늘어진 것으로 보입니다. 아직 전체적인 탈모는 심하지 않지만, 조기 진단 및 관리가 필요한 단계입니다.",3.915727376937866
