image_path,filename,true_stage,pred_stage,probs,viewpoint
C:\Users\301\Desktop\classification_test\level_2\1-Left_jpg.rf.6bc2f4b4c055fe1c23be4d36a8b8f6ef.jpg,1-Left_jpg.rf.6bc2f4b4c055fe1c23be4d36a8b8f6ef.jpg,2,2,"[0.5477392614106906, 0.345131103804488, 0.10712963478482133, 0.0, 0.0, 0.0]",left
C:\Users\301\Desktop\classification_test\level_2\1-Left_jpg.rf.b92bacf8de3efbbc3f361d9f46fd138f.jpg,1-Left_jpg.rf.b92bacf8de3efbbc3f361d9f46fd138f.jpg,2,3,"[0.34827904677305305, 0.596130820087076, 0.0, 0.0, 0.055590133139871004, 0.0]",left
C:\Users\301\Desktop\classification_test\level_2\1-Left_jpg.rf.e8f9f4c6b4b8d97e4d90f3c0008e0944.jpg,1-Left_jpg.rf.e8f9f4c6b4b8d97e4d90f3c0008e0944.jpg,2,2,"[0.5212139777622466, 0.3649037595000538, 0.11388226273769954, 0.0, 0.0, 0.0]",left
C:\Users\301\Desktop\classification_test\level_2\1-Top-Down_jpg.rf.0e66e06d513256dad94cdf8584cdfd74.jpg,1-Top-Down_jpg.rf.0e66e06d513256dad94cdf8584cdfd74.jpg,2,2,"[0.6946142668685586, 0.0, 0.3053857331314413, 0.0, 0.0, 0.0]",top-down
C:\Users\301\Desktop\classification_test\level_2\1-Top-Down_jpg.rf.26b83dbd8205a591dc655394e4f64392.jpg,1-Top-Down_jpg.rf.26b83dbd8205a591dc655394e4f64392.jpg,2,2,"[0.7702372327038945, 0.1684384213511212, 0.06132434594498428, 0.0, 0.0, 0.0]",top-down
C:\Users\301\Desktop\classification_test\level_2\1-Top-Down_jpg.rf.cf9def7d3b460ba1766b35487aca1214.jpg,1-Top-Down_jpg.rf.cf9def7d3b460ba1766b35487aca1214.jpg,2,2,"[0.5585390602239607, 0.11745722366860332, 0.21379624070663533, 0.11020747540080048, 0.0, 0.0]",top-down
C:\Users\301\Desktop\classification_test\level_2\17-Front_jpg.rf.09d799a68cabda5c5cea7137eb29d1dd.jpg,17-Front_jpg.rf.09d799a68cabda5c5cea7137eb29d1dd.jpg,2,2,"[0.4664381310585037, 0.3334138372232419, 0.20014803171825443, 0.0, 0.0, 0.0]",front
C:\Users\301\Desktop\classification_test\level_2\17-Front_jpg.rf.b2507c1b95bf8ce0a7151b2a06c13b90.jpg,17-Front_jpg.rf.b2507c1b95bf8ce0a7151b2a06c13b90.jpg,2,2,"[0.6771773873190005, 0.09635246753624155, 0.1071081219749953, 0.0, 0.11936202316976273, 0.0]",front
C:\Users\301\Desktop\classification_test\level_2\17-Front_jpg.rf.c168c07448f0283b292af97c9de2054c.jpg,17-Front_jpg.rf.c168c07448f0283b292af97c9de2054c.jpg,2,2,"[0.5129818417231559, 0.27473623745898634, 0.10047517793354906, 0.0, 0.0, 0.11180674288430884]",front
C:\Users\301\Desktop\classification_test\level_2\17-Right_jpg.rf.4317c207e3e74c60f527468c32a5ec36.jpg,17-Right_jpg.rf.4317c207e3e74c60f527468c32a5ec36.jpg,2,2,"[0.9182113930325247, 0.08178860696747514, 0.0, 0.0, 0.0, 0.0]",right
