image_path,filename,true_level,predicted_level,confidence,analysis_time,stage_scores,success,error
C:\Users\301\Desktop\test_data_set\test\2\20240110062442KzTdCP_jpg.rf.9e9eaaadaf4a94a9c565b0106724f041.jpg,20240110062442KzTdCP_jpg.rf.9e9eaaadaf4a94a9c565b0106724f041.jpg,2,2.0,0.808,3.5082175731658936,"{'2.0': 0.808, '1.0': 0.192}",True,
C:\Users\301\Desktop\test_data_set\test\2\20231110070141qEi5wm_jpg.rf.20af76796b05405ce043227831af11b2.jpg,20231110070141qEi5wm_jpg.rf.20af76796b05405ce043227831af11b2.jpg,2,2.0,0.701,1.9356129169464111,"{'2.0': 0.701, '1.0': 0.299}",True,
C:\Users\301\Desktop\test_data_set\test\2\20231206043710OotqJs_jpg.rf.621d16a36fabb45a838cf73543a26577.jpg,20231206043710OotqJs_jpg.rf.621d16a36fabb45a838cf73543a26577.jpg,2,4.0,0.398,1.8337233066558838,"{'1.0': 0.302, '2.0': 0.3, '4.0': 0.398}",True,
C:\Users\301\Desktop\test_data_set\test\2\202401021640493dHvsP_jpg.rf.f4be72debbbdf68d5a828157d52c3537.jpg,202401021640493dHvsP_jpg.rf.f4be72debbbdf68d5a828157d52c3537.jpg,2,2.0,0.698,1.9355595111846924,"{'1.0': 0.302, '2.0': 0.698}",True,
C:\Users\301\Desktop\test_data_set\test\2\20240110161423irhZYT_jpg.rf.f522d126d27f9556ef4aaebc36469a89.jpg,20240110161423irhZYT_jpg.rf.f522d126d27f9556ef4aaebc36469a89.jpg,2,1.0,0.602,1.85551118850708,"{'1.0': 0.602, '2.0': 0.398}",True,
C:\Users\301\Desktop\test_data_set\test\2\20240110181024v6RUKz_jpg.rf.efae00619ff24a8ed2845e9bde7e8a48.jpg,20240110181024v6RUKz_jpg.rf.efae00619ff24a8ed2845e9bde7e8a48.jpg,2,1.0,0.406,1.8129253387451172,"{'1.0': 0.406, '2.0': 0.301, '4.0': 0.292}",True,
C:\Users\301\Desktop\test_data_set\test\2\20240112041805zFsaoN_jpg.rf.049f78390a56c8312fe7ea79256a44eb.jpg,20240112041805zFsaoN_jpg.rf.049f78390a56c8312fe7ea79256a44eb.jpg,2,3.0,0.703,1.839346170425415,"{'3.0': 0.703, '1.0': 0.199, '2.0': 0.098}",True,
C:\Users\301\Desktop\test_data_set\test\2\20231222075010HDRqwK_jpg.rf.4e412fcbb2778e7599376a1cdd92cc7b.jpg,20231222075010HDRqwK_jpg.rf.4e412fcbb2778e7599376a1cdd92cc7b.jpg,2,3.0,0.699,1.8085942268371582,"{'2.0': 0.301, '3.0': 0.699}",True,
C:\Users\301\Desktop\test_data_set\test\2\202401041207296cmQVL_jpg.rf.69bff8742738d3e61393f3984ad7174a.jpg,202401041207296cmQVL_jpg.rf.69bff8742738d3e61393f3984ad7174a.jpg,2,1.0,0.803,1.9612011909484863,"{'1.0': 0.803, '2.0': 0.197}",True,
C:\Users\301\Desktop\test_data_set\test\2\20240226191121Dv7z5w_jpg.rf.eb0c2f4b31aebe5bbeaa9a01fb3434aa.jpg,20240226191121Dv7z5w_jpg.rf.eb0c2f4b31aebe5bbeaa9a01fb3434aa.jpg,2,1.0,0.494,1.8450744152069092,"{'2.0': 0.408, '1.0': 0.494, '3.0': 0.098}",True,
