image_path,filename,true_level,predicted_level,confidence,analysis_time,stage_scores,success,error
C:\Users\301\Desktop\test_data_set\test\2\20240224194300kOjsFD_jpg.rf.0c13fa04922a01749826cec6cc657c47.jpg,20240224194300kOjsFD_jpg.rf.0c13fa04922a01749826cec6cc657c47.jpg,2,1.0,1.0,3.4049434661865234,{'1.0': 1.0},True,
C:\Users\301\Desktop\test_data_set\test\2\20231110070141qEi5wm_jpg.rf.20af76796b05405ce043227831af11b2.jpg,20231110070141qEi5wm_jpg.rf.20af76796b05405ce043227831af11b2.jpg,2,2.0,0.701,1.7945709228515625,"{'2.0': 0.701, '1.0': 0.299}",True,
C:\Users\301\Desktop\test_data_set\test\2\20231224074531ch8RvS_jpg.rf.a2bc429ffd23cfcbb137b75f037d0804.jpg,20231224074531ch8RvS_jpg.rf.a2bc429ffd23cfcbb137b75f037d0804.jpg,2,2.0,0.901,1.8439216613769531,"{'2.0': 0.901, '1.0': 0.099}",True,
C:\Users\301\Desktop\test_data_set\test\2\20231231054651z4VGer_jpg.rf.076b97375abd482fa8d551e0fc2a7b26.jpg,20231231054651z4VGer_jpg.rf.076b97375abd482fa8d551e0fc2a7b26.jpg,2,2.0,0.801,1.7854969501495361,"{'2.0': 0.801, '1.0': 0.199}",True,
C:\Users\301\Desktop\test_data_set\test\2\20240106121506HtPoQC_jpg.rf.cadedd2a52e97a75ad530554d1a3a58e.jpg,20240106121506HtPoQC_jpg.rf.cadedd2a52e97a75ad530554d1a3a58e.jpg,2,3.0,0.907,1.8756494522094727,"{'3.0': 0.907, '1.0': 0.093}",True,
C:\Users\301\Desktop\test_data_set\test\2\20240226191121Dv7z5w_jpg.rf.eb0c2f4b31aebe5bbeaa9a01fb3434aa.jpg,20240226191121Dv7z5w_jpg.rf.eb0c2f4b31aebe5bbeaa9a01fb3434aa.jpg,2,1.0,0.494,1.836859941482544,"{'2.0': 0.408, '1.0': 0.494, '3.0': 0.098}",True,
C:\Users\301\Desktop\test_data_set\test\2\20231231065720iJVyYt_jpg.rf.01d1f87df50ab17878cfca7bc4677a88.jpg,20231231065720iJVyYt_jpg.rf.01d1f87df50ab17878cfca7bc4677a88.jpg,2,2.0,0.801,1.8779528141021729,"{'2.0': 0.801, '3.0': 0.199}",True,
C:\Users\301\Desktop\test_data_set\test\2\20240228022910jI5UiG_jpg.rf.ef2df61aef7de73f2e41ce77231b3f72.jpg,20240228022910jI5UiG_jpg.rf.ef2df61aef7de73f2e41ce77231b3f72.jpg,2,2.0,0.708,1.8419463634490967,"{'2.0': 0.708, '3.0': 0.292}",True,
C:\Users\301\Desktop\test_data_set\test\2\20240228154416jXyC0M_gauss_jpg.rf.ac2af1c17a0d641455bc43da325ded4c.jpg,20240228154416jXyC0M_gauss_jpg.rf.ac2af1c17a0d641455bc43da325ded4c.jpg,2,2.0,0.716,1.919250726699829,"{'2.0': 0.716, '3.0': 0.19, '1.0': 0.094}",True,
C:\Users\301\Desktop\test_data_set\test\2\202401080941003KIfb2_gauss_jpg.rf.408f53e8c1028b97f71e56081c5c7c41.jpg,202401080941003KIfb2_gauss_jpg.rf.408f53e8c1028b97f71e56081c5c7c41.jpg,2,2.0,1.0,1.8432977199554443,{'2.0': 1.0},True,
C:\Users\301\Desktop\test_data_set\test\2\20240110062442KzTdCP_jpg.rf.9e9eaaadaf4a94a9c565b0106724f041.jpg,20240110062442KzTdCP_jpg.rf.9e9eaaadaf4a94a9c565b0106724f041.jpg,2,2.0,0.808,1.8974227905273438,"{'2.0': 0.808, '1.0': 0.192}",True,
C:\Users\301\Desktop\test_data_set\test\2\20240202110316tKibKR_jpg.rf.2025d9adac2414f743f3a786b7769767.jpg,20240202110316tKibKR_jpg.rf.2025d9adac2414f743f3a786b7769767.jpg,2,2.0,0.702,1.9251582622528076,"{'2.0': 0.702, '1.0': 0.298}",True,
C:\Users\301\Desktop\test_data_set\test\2\20231130095830aHEvMd_jpg.rf.d9b2f9314d2120498c24129616d8006c.jpg,20231130095830aHEvMd_jpg.rf.d9b2f9314d2120498c24129616d8006c.jpg,2,2.0,1.0,1.9020917415618896,{'2.0': 1.0},True,
C:\Users\301\Desktop\test_data_set\test\2\20231225045824PLLwSq_sepia_jpg.rf.2f8315ce1666177e6f761a2b847eee43.jpg,20231225045824PLLwSq_sepia_jpg.rf.2f8315ce1666177e6f761a2b847eee43.jpg,2,2.0,0.506,1.9308662414550781,"{'2.0': 0.506, '3.0': 0.494}",True,
C:\Users\301\Desktop\test_data_set\test\2\202403051419132qBmCp_jpg.rf.da793fe65f18a09d455e7614e3522eff.jpg,202403051419132qBmCp_jpg.rf.da793fe65f18a09d455e7614e3522eff.jpg,2,2.0,0.615,1.8387744426727295,"{'2.0': 0.615, '1.0': 0.385}",True,
C:\Users\301\Desktop\test_data_set\test\2\20231222075010HDRqwK_jpg.rf.4e412fcbb2778e7599376a1cdd92cc7b.jpg,20231222075010HDRqwK_jpg.rf.4e412fcbb2778e7599376a1cdd92cc7b.jpg,2,3.0,0.699,1.7965574264526367,"{'2.0': 0.301, '3.0': 0.699}",True,
C:\Users\301\Desktop\test_data_set\test\2\20240111181117uMGlb4_jpg.rf.f0a0b23d47eafad99f379f672b37d1f8.jpg,20240111181117uMGlb4_jpg.rf.f0a0b23d47eafad99f379f672b37d1f8.jpg,2,2.0,0.918,1.8457131385803223,"{'2.0': 0.918, '4.0': 0.082}",True,
C:\Users\301\Desktop\test_data_set\test\2\20240110181024v6RUKz_jpg.rf.efae00619ff24a8ed2845e9bde7e8a48.jpg,20240110181024v6RUKz_jpg.rf.efae00619ff24a8ed2845e9bde7e8a48.jpg,2,1.0,0.406,1.8129079341888428,"{'1.0': 0.406, '2.0': 0.301, '4.0': 0.292}",True,
