image_path,filename,viewpoint,true_level,predicted_level,confidence,analysis_time,stage_scores,success,error
C:\Users\301\Desktop\test_data_set_all_pointview\level_2\LEVEL_2\24-Top-Down_jpg.rf.a5ddf4dca8ab2f9dbbd61d958fad2e21.jpg,24-Top-Down_jpg.rf.a5ddf4dca8ab2f9dbbd61d958fad2e21.jpg,top-down,2,3.0,0.392,3.3068904876708984,"{'5.0': 0.321, '3.0': 0.392, '1.0': 0.098, '6.0': 0.096, '2.0': 0.094}",True,
C:\Users\301\Desktop\test_data_set_all_pointview\level_2\LEVEL_2\24-Right_jpg.rf.c4a4dffd8983d43e09039be4f35103d4.jpg,24-Right_jpg.rf.c4a4dffd8983d43e09039be4f35103d4.jpg,right,2,2.0,0.473,1.829716682434082,"{'7.0': 0.214, '6.0': 0.209, '3.0': 0.104, '2.0': 0.473}",True,
C:\Users\301\Desktop\test_data_set_all_pointview\level_2\LEVEL_2\22-Front_jpg.rf.4519659c0bec5c66792bc5465de162b0.jpg,22-Front_jpg.rf.4519659c0bec5c66792bc5465de162b0.jpg,front,2,2.0,0.512,2.4618687629699707,"{'2.0': 0.512, '4.0': 0.293, '7.0': 0.098, '5.0': 0.098}",True,
C:\Users\301\Desktop\test_data_set_all_pointview\level_2\LEVEL_2\1-Top-Down_jpg.rf.0e66e06d513256dad94cdf8584cdfd74.jpg,1-Top-Down_jpg.rf.0e66e06d513256dad94cdf8584cdfd74.jpg,top-down,2,1.0,0.904,2.8430004119873047,"{'1.0': 0.904, '2.0': 0.096}",True,
C:\Users\301\Desktop\test_data_set_all_pointview\level_2\LEVEL_2\24-Right_jpg.rf.42d74a251bda8cf36b85dd15c89e7199.jpg,24-Right_jpg.rf.42d74a251bda8cf36b85dd15c89e7199.jpg,right,2,6.0,0.315,2.0741307735443115,"{'6.0': 0.315, '3.0': 0.2, '7.0': 0.294, '2.0': 0.192}",True,
C:\Users\301\Desktop\test_data_set_all_pointview\level_2\LEVEL_2\21-Top-Down_jpg.rf.5e9f52d1b957ad591db8edac1b6774df.jpg,21-Top-Down_jpg.rf.5e9f52d1b957ad591db8edac1b6774df.jpg,top-down,2,2.0,0.4,4.551110029220581,"{'5.0': 0.308, '2.0': 0.4, '6.0': 0.196, '3.0': 0.097}",True,
C:\Users\301\Desktop\test_data_set_all_pointview\level_2\LEVEL_2\24-Top-Down_jpg.rf.b79100f5b6aa9727defed892589f4ace.jpg,24-Top-Down_jpg.rf.b79100f5b6aa9727defed892589f4ace.jpg,top-down,2,3.0,0.317,2.009481906890869,"{'3.0': 0.317, '4.0': 0.202, '5.0': 0.294, '1.0': 0.094, '2.0': 0.093}",True,
C:\Users\301\Desktop\test_data_set_all_pointview\level_2\LEVEL_2\3-Left_jpg.rf.71bd5245375518d053cafe1e6d00b009.jpg,3-Left_jpg.rf.71bd5245375518d053cafe1e6d00b009.jpg,left,2,2.0,0.403,2.396507501602173,"{'2.0': 0.403, '3.0': 0.3, '4.0': 0.201, '7.0': 0.095}",True,
C:\Users\301\Desktop\test_data_set_all_pointview\level_2\LEVEL_2\17-Right_jpg.rf.782c2bb91f35e43fb8eaf052b5574d8a.jpg,17-Right_jpg.rf.782c2bb91f35e43fb8eaf052b5574d8a.jpg,right,2,2.0,0.504,2.1414384841918945,"{'2.0': 0.504, '7.0': 0.1, '3.0': 0.1, '6.0': 0.296}",True,
C:\Users\301\Desktop\test_data_set_all_pointview\level_2\LEVEL_2\22-Front_jpg.rf.1e3c0aca2be9e864cb6fe293c107f5a2.jpg,22-Front_jpg.rf.1e3c0aca2be9e864cb6fe293c107f5a2.jpg,front,2,2.0,0.506,1.8044238090515137,"{'2.0': 0.506, '5.0': 0.204, '4.0': 0.097, '7.0': 0.192}",True,
C:\Users\301\Desktop\test_data_set_all_pointview\level_2\LEVEL_2\17-Front_jpg.rf.09d799a68cabda5c5cea7137eb29d1dd.jpg,17-Front_jpg.rf.09d799a68cabda5c5cea7137eb29d1dd.jpg,front,2,2.0,0.516,1.7848553657531738,"{'2.0': 0.516, '7.0': 0.097, '3.0': 0.194, '4.0': 0.192}",True,
C:\Users\301\Desktop\test_data_set_all_pointview\level_2\LEVEL_2\28-Left_jpg.rf.0f5f08c481344c4d2075b9b0ae7ca510.jpg,28-Left_jpg.rf.0f5f08c481344c4d2075b9b0ae7ca510.jpg,left,2,2.0,0.621,2.0312511920928955,"{'2.0': 0.621, '3.0': 0.192, '7.0': 0.096, '6.0': 0.091}",True,
