image_path,filename,true_level,predicted_level,confidence,analysis_time,stage_scores,success,error
C:\Users\301\Desktop\test_data_set\test\2\20240228154416jXyC0M_gauss_jpg.rf.ac2af1c17a0d641455bc43da325ded4c.jpg,20240228154416jXyC0M_gauss_jpg.rf.ac2af1c17a0d641455bc43da325ded4c.jpg,2,3,0.399,0.6920044422149658,"{'5': 0.104, '3': 0.399, '2': 0.102, '4': 0.199, '6': 0.196}",True,
C:\Users\301\Desktop\test_data_set\test\2\20231222094424akH8Au_jpg.rf.cb2c90ea14b4ec3aa056d435ea661e2b.jpg,20231222094424akH8Au_jpg.rf.cb2c90ea14b4ec3aa056d435ea661e2b.jpg,2,3,0.806,0.8309988975524902,"{'3': 0.806, '2': 0.194}",True,
C:\Users\301\Desktop\test_data_set\test\2\20231229055019q8obL0_jpg.rf.a44525ef4b70ca5326c02e646751cdd8.jpg,20231229055019q8obL0_jpg.rf.a44525ef4b70ca5326c02e646751cdd8.jpg,2,2,0.498,0.6500003337860107,"{'3': 0.399, '2': 0.498, '4': 0.103}",True,
C:\Users\301\Desktop\test_data_set\test\2\20231109103954UbVvLx_jpg.rf.08bf8f0253ff6ec4a392e60407a7ca05.jpg,20231109103954UbVvLx_jpg.rf.08bf8f0253ff6ec4a392e60407a7ca05.jpg,2,2,0.521,0.6380009651184082,"{'3': 0.308, '2': 0.521, '4': 0.172}",True,
C:\Users\301\Desktop\test_data_set\test\2\20240224194300kOjsFD_jpg.rf.0c13fa04922a01749826cec6cc657c47.jpg,20240224194300kOjsFD_jpg.rf.0c13fa04922a01749826cec6cc657c47.jpg,2,3,0.803,0.8460001945495605,"{'3': 0.803, '4': 0.098, '2': 0.098}",True,
C:\Users\301\Desktop\test_data_set\test\2\20240426114804vEJvCL_jpg.rf.e8b208c0e3afd026da67dc6b206f33b1.jpg,20240426114804vEJvCL_jpg.rf.e8b208c0e3afd026da67dc6b206f33b1.jpg,2,4,0.578,0.6579957008361816,"{'3': 0.422, '4': 0.578}",True,
C:\Users\301\Desktop\test_data_set\test\2\20240130072349uniDRh_jpg.rf.f943e9a84d533634fab73140c6a126d5.jpg,20240130072349uniDRh_jpg.rf.f943e9a84d533634fab73140c6a126d5.jpg,2,3,0.499,0.6430044174194336,"{'4': 0.106, '2': 0.395, '3': 0.499}",True,
C:\Users\301\Desktop\test_data_set\test\2\20240110161423irhZYT_jpg.rf.f522d126d27f9556ef4aaebc36469a89.jpg,20240110161423irhZYT_jpg.rf.f522d126d27f9556ef4aaebc36469a89.jpg,2,3,0.604,0.7549982070922852,"{'2': 0.111, '3': 0.604, '4': 0.191, '5': 0.094}",True,
C:\Users\301\Desktop\test_data_set\test\2\20240226191121Dv7z5w_jpg.rf.eb0c2f4b31aebe5bbeaa9a01fb3434aa.jpg,20240226191121Dv7z5w_jpg.rf.eb0c2f4b31aebe5bbeaa9a01fb3434aa.jpg,2,3,0.413,0.7330060005187988,"{'3': 0.413, '4': 0.199, '6': 0.103, '2': 0.1, '5': 0.185}",True,
C:\Users\301\Desktop\test_data_set\test\2\20240112041805zFsaoN_jpg.rf.049f78390a56c8312fe7ea79256a44eb.jpg,20240112041805zFsaoN_jpg.rf.049f78390a56c8312fe7ea79256a44eb.jpg,2,2,0.467,0.649998664855957,"{'3': 0.341, '2': 0.467, '4': 0.1, '5': 0.092}",True,
