image_path,filename,true_stage,pred_stage,probs,roi_method,regions_used
C:\Users\301\Desktop\classification_test\level_2\1-Left_jpg.rf.6bc2f4b4c055fe1c23be4d36a8b8f6ef.jpg,1-Left_jpg.rf.6bc2f4b4c055fe1c23be4d36a8b8f6ef.jpg,2,2,"[0.5224302977408448, 0.16589189254721512, 0.09835267862541072, 0.09916976166489971, 0.01915925693757789, 0.09499611248405178]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_2\1-Left_jpg.rf.b92bacf8de3efbbc3f361d9f46fd138f.jpg,1-Left_jpg.rf.b92bacf8de3efbbc3f361d9f46fd138f.jpg,2,2,"[0.7404769045223927, 0.1120972969160887, 0.010954591479083469, 0.042119278619754376, 0.008946476406710164, 0.0854054520559708]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_2\1-Left_jpg.rf.e8f9f4c6b4b8d97e4d90f3c0008e0944.jpg,1-Left_jpg.rf.e8f9f4c6b4b8d97e4d90f3c0008e0944.jpg,2,2,"[0.7733296422823889, 0.12061672153336653, 0.0, 0.08747728392736687, 0.009647847469234227, 0.008928504787643624]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_2\1-Top-Down_jpg.rf.0e66e06d513256dad94cdf8584cdfd74.jpg,1-Top-Down_jpg.rf.0e66e06d513256dad94cdf8584cdfd74.jpg,2,2,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_2\1-Top-Down_jpg.rf.26b83dbd8205a591dc655394e4f64392.jpg,1-Top-Down_jpg.rf.26b83dbd8205a591dc655394e4f64392.jpg,2,2,"[0.5051385805717359, 0.48349468475520485, 0.011366734673059441, 0.0, 0.0, 0.0]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_2\1-Top-Down_jpg.rf.cf9def7d3b460ba1766b35487aca1214.jpg,1-Top-Down_jpg.rf.cf9def7d3b460ba1766b35487aca1214.jpg,2,2,"[0.9683565857223608, 0.03164341427763914, 0.0, 0.0, 0.0, 0.0]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_2\17-Front_jpg.rf.09d799a68cabda5c5cea7137eb29d1dd.jpg,17-Front_jpg.rf.09d799a68cabda5c5cea7137eb29d1dd.jpg,2,2,"[0.48839295793922866, 0.19190958102813033, 0.2791862687587715, 0.03082668713956336, 0.0, 0.009684505134306215]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_2\17-Front_jpg.rf.b2507c1b95bf8ce0a7151b2a06c13b90.jpg,17-Front_jpg.rf.b2507c1b95bf8ce0a7151b2a06c13b90.jpg,2,5,"[0.1439050790820746, 0.15116218219361277, 0.01766481869337325, 0.33064932112037526, 0.28834457684141734, 0.06827402206914684]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_2\17-Front_jpg.rf.c168c07448f0283b292af97c9de2054c.jpg,17-Front_jpg.rf.c168c07448f0283b292af97c9de2054c.jpg,2,2,"[0.3207356574470384, 0.2563878357628563, 0.019266376820570495, 0.1811741380204884, 0.22243599194904642, 0.0]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_2\17-Right_jpg.rf.4317c207e3e74c60f527468c32a5ec36.jpg,17-Right_jpg.rf.4317c207e3e74c60f527468c32a5ec36.jpg,2,2,"[0.6017441501819939, 0.22442000752071192, 0.048106753980340436, 0.0, 0.0, 0.1257290883169537]",roi_weighted_ensemble,"['core', 'sides']"
