image_path,filename,true_stage,pred_stage,probs,preprocessing_method,viewpoint
C:\Users\301\Desktop\classification_test\level_2\1-Left_jpg.rf.6bc2f4b4c055fe1c23be4d36a8b8f6ef.jpg,1-Left_jpg.rf.6bc2f4b4c055fe1c23be4d36a8b8f6ef.jpg,2,2,"[0.7334336878548167, 0.1446310989956855, 0.12193521314949787, 0.0, 0.0, 0.0]",preprocessing_only,left
C:\Users\301\Desktop\classification_test\level_2\1-Left_jpg.rf.b92bacf8de3efbbc3f361d9f46fd138f.jpg,1-Left_jpg.rf.b92bacf8de3efbbc3f361d9f46fd138f.jpg,2,3,"[0.4266907428975077, 0.5275790065165337, 0.0, 0.04573025058595868, 0.0, 0.0]",preprocessing_only,left
C:\Users\301\Desktop\classification_test\level_2\1-Left_jpg.rf.e8f9f4c6b4b8d97e4d90f3c0008e0944.jpg,1-Left_jpg.rf.e8f9f4c6b4b8d97e4d90f3c0008e0944.jpg,2,3,"[0.2848478659912311, 0.4853087039700156, 0.0, 0.0402544959783025, 0.1895889340604508, 0.0]",preprocessing_only,left
C:\Users\301\Desktop\classification_test\level_2\1-Top-Down_jpg.rf.0e66e06d513256dad94cdf8584cdfd74.jpg,1-Top-Down_jpg.rf.0e66e06d513256dad94cdf8584cdfd74.jpg,2,2,"[0.8577002004638636, 0.14229979953613642, 0.0, 0.0, 0.0, 0.0]",preprocessing_only,top-down
C:\Users\301\Desktop\classification_test\level_2\1-Top-Down_jpg.rf.26b83dbd8205a591dc655394e4f64392.jpg,1-Top-Down_jpg.rf.26b83dbd8205a591dc655394e4f64392.jpg,2,2,"[0.7391870298215296, 0.10011001077782856, 0.16070295940064191, 0.0, 0.0, 0.0]",preprocessing_only,top-down
C:\Users\301\Desktop\classification_test\level_2\1-Top-Down_jpg.rf.cf9def7d3b460ba1766b35487aca1214.jpg,1-Top-Down_jpg.rf.cf9def7d3b460ba1766b35487aca1214.jpg,2,2,"[0.8330358141788848, 0.06919544613694469, 0.0, 0.09776873968417059, 0.0, 0.0]",preprocessing_only,top-down
C:\Users\301\Desktop\classification_test\level_2\17-Front_jpg.rf.09d799a68cabda5c5cea7137eb29d1dd.jpg,17-Front_jpg.rf.09d799a68cabda5c5cea7137eb29d1dd.jpg,2,2,"[0.5247864483507725, 0.33489605073384965, 0.09018210984638325, 0.050135391068994575, 0.0, 0.0]",preprocessing_only,unknown
C:\Users\301\Desktop\classification_test\level_2\17-Front_jpg.rf.b2507c1b95bf8ce0a7151b2a06c13b90.jpg,17-Front_jpg.rf.b2507c1b95bf8ce0a7151b2a06c13b90.jpg,2,3,"[0.28438035299920844, 0.3644616657446619, 0.08495665825694892, 0.04619024283823302, 0.12857614736209913, 0.09143493279884851]",preprocessing_only,unknown
C:\Users\301\Desktop\classification_test\level_2\17-Front_jpg.rf.c168c07448f0283b292af97c9de2054c.jpg,17-Front_jpg.rf.c168c07448f0283b292af97c9de2054c.jpg,2,2,"[0.7783529318607396, 0.12200442879360263, 0.0, 0.0, 0.0, 0.09964263934565766]",preprocessing_only,unknown
C:\Users\301\Desktop\classification_test\level_2\17-Right_jpg.rf.4317c207e3e74c60f527468c32a5ec36.jpg,17-Right_jpg.rf.4317c207e3e74c60f527468c32a5ec36.jpg,2,2,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",preprocessing_only,right
