image_path,filename,true_stage,pred_stage,probs,viewpoint
C:\Users\301\Desktop\classification_test\level_2\1-Left_jpg.rf.6bc2f4b4c055fe1c23be4d36a8b8f6ef.jpg,1-Left_jpg.rf.6bc2f4b4c055fe1c23be4d36a8b8f6ef.jpg,2,2,"[0.5620699718289749, 0.23327693062629296, 0.20465309754473224, 0.0, 0.0, 0.0]",left
C:\Users\301\Desktop\classification_test\level_2\1-Left_jpg.rf.b92bacf8de3efbbc3f361d9f46fd138f.jpg,1-Left_jpg.rf.b92bacf8de3efbbc3f361d9f46fd138f.jpg,2,3,"[0.24833697835271798, 0.42065818966316004, 0.049203175005161345, 0.0, 0.28180165697896065, 0.0]",left
C:\Users\301\Desktop\classification_test\level_2\1-Left_jpg.rf.e8f9f4c6b4b8d97e4d90f3c0008e0944.jpg,1-Left_jpg.rf.e8f9f4c6b4b8d97e4d90f3c0008e0944.jpg,2,2,"[0.7210531685528521, 0.11810497877931145, 0.16084185266783635, 0.0, 0.0, 0.0]",left
C:\Users\301\Desktop\classification_test\level_2\1-Top-Down_jpg.rf.0e66e06d513256dad94cdf8584cdfd74.jpg,1-Top-Down_jpg.rf.0e66e06d513256dad94cdf8584cdfd74.jpg,2,4,"[0.11802243511860129, 0.0, 0.8819775648813987, 0.0, 0.0, 0.0]",top-down
C:\Users\301\Desktop\classification_test\level_2\1-Top-Down_jpg.rf.26b83dbd8205a591dc655394e4f64392.jpg,1-Top-Down_jpg.rf.26b83dbd8205a591dc655394e4f64392.jpg,2,2,"[0.9347981327872894, 0.0652018672127106, 0.0, 0.0, 0.0, 0.0]",top-down
C:\Users\301\Desktop\classification_test\level_2\1-Top-Down_jpg.rf.cf9def7d3b460ba1766b35487aca1214.jpg,1-Top-Down_jpg.rf.cf9def7d3b460ba1766b35487aca1214.jpg,2,2,"[0.4898715657697508, 0.09653626299285713, 0.3002424184812959, 0.11334975275609614, 0.0, 0.0]",top-down
C:\Users\301\Desktop\classification_test\level_2\17-Front_jpg.rf.09d799a68cabda5c5cea7137eb29d1dd.jpg,17-Front_jpg.rf.09d799a68cabda5c5cea7137eb29d1dd.jpg,2,2,"[0.5700249558970764, 0.14313570063994405, 0.2868393434629795, 0.0, 0.0, 0.0]",front
C:\Users\301\Desktop\classification_test\level_2\17-Front_jpg.rf.b2507c1b95bf8ce0a7151b2a06c13b90.jpg,17-Front_jpg.rf.b2507c1b95bf8ce0a7151b2a06c13b90.jpg,2,2,"[0.7618432927960035, 0.09136846956623251, 0.0, 0.04590075080814611, 0.10088748682961797, 0.0]",front
C:\Users\301\Desktop\classification_test\level_2\17-Front_jpg.rf.c168c07448f0283b292af97c9de2054c.jpg,17-Front_jpg.rf.c168c07448f0283b292af97c9de2054c.jpg,2,2,"[0.7590372257406076, 0.14387895710137735, 0.09708381715801503, 0.0, 0.0, 0.0]",front
C:\Users\301\Desktop\classification_test\level_2\17-Right_jpg.rf.4317c207e3e74c60f527468c32a5ec36.jpg,17-Right_jpg.rf.4317c207e3e74c60f527468c32a5ec36.jpg,2,2,"[0.9277783506102222, 0.0372216497408131, 0.0, 0.0, 0.03499999964896475, 0.0]",right
C:\Users\301\Desktop\classification_test\level_2\17-Right_jpg.rf.782c2bb91f35e43fb8eaf052b5574d8a.jpg,17-Right_jpg.rf.782c2bb91f35e43fb8eaf052b5574d8a.jpg,2,2,"[0.6750901038817313, 0.21520665606415304, 0.0, 0.08137958820084819, 0.0, 0.028323651853267455]",right
C:\Users\301\Desktop\classification_test\level_2\17-Right_jpg.rf.dc63da48e2e5f193db4924bbfa752f3c.jpg,17-Right_jpg.rf.dc63da48e2e5f193db4924bbfa752f3c.jpg,2,2,"[0.9266116830347101, 0.03754584511301068, 0.0, 0.0, 0.035842471852279296, 0.0]",right
C:\Users\301\Desktop\classification_test\level_2\2-Front_jpg.rf.35a68d2d601a29406f85567078d9a3d6.jpg,2-Front_jpg.rf.35a68d2d601a29406f85567078d9a3d6.jpg,2,2,"[0.5887327328311575, 0.19181795942075297, 0.14581632794637556, 0.035551150419551904, 0.038081829382162154, 0.0]",front
C:\Users\301\Desktop\classification_test\level_2\2-Front_jpg.rf.3cc295bb9f1747820fb458bee70b9c08.jpg,2-Front_jpg.rf.3cc295bb9f1747820fb458bee70b9c08.jpg,2,2,"[0.7913363805711318, 0.20866361942886819, 0.0, 0.0, 0.0, 0.0]",front
C:\Users\301\Desktop\classification_test\level_2\2-Front_jpg.rf.c0344e8174b378670ae3ceb1ca976d1e.jpg,2-Front_jpg.rf.c0344e8174b378670ae3ceb1ca976d1e.jpg,2,2,"[0.6971406457920337, 0.3028593542079662, 0.0, 0.0, 0.0, 0.0]",front
C:\Users\301\Desktop\classification_test\level_2\21-Front_jpg.rf.1dcd2eef5acfbccfa3e3a939a040d594.jpg,21-Front_jpg.rf.1dcd2eef5acfbccfa3e3a939a040d594.jpg,2,5,"[0.19278592365228028, 0.0, 0.31102842405189157, 0.35190952783428375, 0.049670912282909936, 0.09460521217863432]",front
C:\Users\301\Desktop\classification_test\level_2\21-Front_jpg.rf.1fbb2566f3edeed5e8ea35e8fa5e36d5.jpg,21-Front_jpg.rf.1fbb2566f3edeed5e8ea35e8fa5e36d5.jpg,2,6,"[0.17979644215948729, 0.0, 0.27881136094420095, 0.23659002350710256, 0.3048021733892093, 0.0]",front
C:\Users\301\Desktop\classification_test\level_2\3-Left_jpg.rf.71bd5245375518d053cafe1e6d00b009.jpg,3-Left_jpg.rf.71bd5245375518d053cafe1e6d00b009.jpg,2,2,"[0.5312335762579584, 0.21916154663111387, 0.24960487711092774, 0.0, 0.0, 0.0]",left
C:\Users\301\Desktop\classification_test\level_2\3-Left_jpg.rf.8d1a756f854c8b59c3ab081a168c911e.jpg,3-Left_jpg.rf.8d1a756f854c8b59c3ab081a168c911e.jpg,2,2,"[0.8084663286549868, 0.0, 0.1915336713450131, 0.0, 0.0, 0.0]",left
C:\Users\301\Desktop\classification_test\level_2\3-Left_jpg.rf.b625a85ab014d51e6360ab03763a0915.jpg,3-Left_jpg.rf.b625a85ab014d51e6360ab03763a0915.jpg,2,2,"[0.5351411928126133, 0.0, 0.4648588071873867, 0.0, 0.0, 0.0]",left
C:\Users\301\Desktop\classification_test\level_3\14-Top-Down_jpg.rf.4b45c53745232f0d19c75e4d3d23a83d.jpg,14-Top-Down_jpg.rf.4b45c53745232f0d19c75e4d3d23a83d.jpg,3,3,"[0.3417201668189474, 0.605937187255694, 0.052342645925358686, 0.0, 0.0, 0.0]",top-down
C:\Users\301\Desktop\classification_test\level_3\14-Top-Down_jpg.rf.6b957da4a7dd73e8eac9170e95803c92.jpg,14-Top-Down_jpg.rf.6b957da4a7dd73e8eac9170e95803c92.jpg,3,3,"[0.23405711584871466, 0.574875666130439, 0.19106721802084628, 0.0, 0.0, 0.0]",top-down
C:\Users\301\Desktop\classification_test\level_3\14-Top-Down_jpg.rf.8e999527010751c5ede9fe141ea9bfe0.jpg,14-Top-Down_jpg.rf.8e999527010751c5ede9fe141ea9bfe0.jpg,3,2,"[0.5502135120112346, 0.3527186285177375, 0.04938041791134578, 0.047687441559682235, 0.0, 0.0]",top-down
C:\Users\301\Desktop\classification_test\level_3\17-Front_jpg.rf.4572009f1e7ce5a229e4d1a677d2ef62.jpg,17-Front_jpg.rf.4572009f1e7ce5a229e4d1a677d2ef62.jpg,3,7,"[0.18103961685348752, 0.21762648872836543, 0.09092009439265528, 0.11021218403487183, 0.15441361456178815, 0.24578800142883175]",front
C:\Users\301\Desktop\classification_test\level_3\17-Front_jpg.rf.7af17ac5a5c4079bc04c778879f38d18.jpg,17-Front_jpg.rf.7af17ac5a5c4079bc04c778879f38d18.jpg,3,3,"[0.0, 0.6090587513396393, 0.0, 0.1524908121574117, 0.18617222291059302, 0.05227821359235613]",front
C:\Users\301\Desktop\classification_test\level_3\17-Front_jpg.rf.eefaab033d690dd5177ab049637d23b2.jpg,17-Front_jpg.rf.eefaab033d690dd5177ab049637d23b2.jpg,3,3,"[0.08806228389362822, 0.4020087314937636, 0.1637568308954765, 0.14672752348437046, 0.19944463023276124, 0.0]",front
C:\Users\301\Desktop\classification_test\level_3\2-Front_jpg.rf.221c657f453018f17e2c1a93d494afe2.jpg,2-Front_jpg.rf.221c657f453018f17e2c1a93d494afe2.jpg,3,2,"[0.5216506658933575, 0.0, 0.15037204660130377, 0.1430447105928101, 0.0, 0.1849325769125286]",front
C:\Users\301\Desktop\classification_test\level_3\2-Front_jpg.rf.ae37cf05d05732bce5439cf7cf132170.jpg,2-Front_jpg.rf.ae37cf05d05732bce5439cf7cf132170.jpg,3,2,"[0.5202302099479938, 0.0, 0.24407580324251324, 0.18736452596440348, 0.0, 0.04832946084508936]",front
C:\Users\301\Desktop\classification_test\level_3\2-Front_jpg.rf.f61274d0cbfe1240946f1138121ed3a4.jpg,2-Front_jpg.rf.f61274d0cbfe1240946f1138121ed3a4.jpg,3,2,"[0.6082974739801694, 0.0, 0.23922677594466188, 0.10011083301898765, 0.0, 0.052364917056180946]",front
C:\Users\301\Desktop\classification_test\level_3\23-Front_jpg.rf.277f2482ced851f66f9916b9f3bf244e.jpg,23-Front_jpg.rf.277f2482ced851f66f9916b9f3bf244e.jpg,3,2,"[0.3943312938107165, 0.15356940750619938, 0.15790978764753014, 0.19874346070198798, 0.0, 0.09544605033356592]",front
C:\Users\301\Desktop\classification_test\level_3\23-Front_jpg.rf.8c13f86da3e884e7a1dc466c8479ee89.jpg,23-Front_jpg.rf.8c13f86da3e884e7a1dc466c8479ee89.jpg,3,4,"[0.20892081741171978, 0.19963297940706162, 0.25703403795461544, 0.23974238052388294, 0.048800137051019016, 0.04586964765170126]",front
C:\Users\301\Desktop\classification_test\level_3\23-Front_jpg.rf.c380c2deeb81c8605653c3efc9fb4465.jpg,23-Front_jpg.rf.c380c2deeb81c8605653c3efc9fb4465.jpg,3,4,"[0.0, 0.13426036553934367, 0.41943079488990387, 0.1039644622404215, 0.09399826233215684, 0.24834611499817413]",front
C:\Users\301\Desktop\classification_test\level_3\23-Left_jpg.rf.53456665e57a2bb799e3deaab1f38340.jpg,23-Left_jpg.rf.53456665e57a2bb799e3deaab1f38340.jpg,3,5,"[0.0, 0.31760710153053534, 0.09142020451230509, 0.44007307307125876, 0.1067360134585348, 0.044163607427366115]",left
C:\Users\301\Desktop\classification_test\level_3\23-Left_jpg.rf.b0bda4a8339f7630de250636ee4210b5.jpg,23-Left_jpg.rf.b0bda4a8339f7630de250636ee4210b5.jpg,3,5,"[0.0, 0.19483510612775037, 0.15352905204623726, 0.2884313005552546, 0.21546454365248524, 0.14773999761827247]",left
C:\Users\301\Desktop\classification_test\level_3\23-Left_jpg.rf.bad5f473d56a0252a812237f2594cbf1.jpg,23-Left_jpg.rf.bad5f473d56a0252a812237f2594cbf1.jpg,3,3,"[0.0, 0.2522932687485355, 0.19222686676710432, 0.21215500125872283, 0.24141164220962907, 0.10191322101600826]",left
C:\Users\301\Desktop\classification_test\level_3\34-Front_jpg.rf.56ca339ccf5e3b03d40bcdb466a0bcd6.jpg,34-Front_jpg.rf.56ca339ccf5e3b03d40bcdb466a0bcd6.jpg,3,2,"[0.3199137472424523, 0.18848816005080712, 0.2575691030352936, 0.0448701746281157, 0.14274874804602977, 0.0464100669973017]",front
C:\Users\301\Desktop\classification_test\level_3\34-Front_jpg.rf.a34d0e21716d9be914d9cf8c606f7eb6.jpg,34-Front_jpg.rf.a34d0e21716d9be914d9cf8c606f7eb6.jpg,3,4,"[0.23864449202512958, 0.1443587400482985, 0.3068117070004998, 0.04873921538939849, 0.16300971088947835, 0.09843613464719556]",front
