,BASP 코드,4단계,4단계명,근거(기본형→단계),근거(F→단계),근거(V→단계),한줄요약,권장 플로우
0,L,0,정상,L→0,,,앞머리선 변화 없음 (L),기준선 유지: 분기별 동일 각도 기록
4,LF1,1,초기,L→0,F1→1,,앞머리선 변화 없음 (L) + 상부 전반 확산 (F1),초기 추세확인: 월 1회 표준 촬영 + 생활요인 점검
8,LF2,2,중기,L→0,F2→2,,앞머리선 변화 없음 (L) + 상부 전반 확산 (F2),경과관리 강화: 2~4주 간격 기록 + 상담 검토(진단 아님)
12,LF3,3,심화,L→0,F3→3,,앞머리선 변화 없음 (L) + 상부 전반 확산 (F3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
1,LV1,1,초기,L→0,,V1→1,앞머리선 변화 없음 (L) + 정수리 희박 (V1),초기 추세확인: 월 1회 표준 촬영 + 생활요인 점검
2,LV2,2,중기,L→0,,V2→2,앞머리선 변화 없음 (L) + 정수리 희박 (V2),경과관리 강화: 2~4주 간격 기록 + 상담 검토(진단 아님)
3,LV3,3,심화,L→0,,V3→3,앞머리선 변화 없음 (L) + 정수리 희박 (V3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
5,LF1V1,1,초기,L→0,F1→1,V1→1,앞머리선 변화 없음 (L) + 상부 전반 확산 (F1) + 정수리 희박 (V1),초기 추세확인: 월 1회 표준 촬영 + 생활요인 점검
6,LF1V2,2,중기,L→0,F1→1,V2→2,앞머리선 변화 없음 (L) + 상부 전반 확산 (F1) + 정수리 희박 (V2),경과관리 강화: 2~4주 간격 기록 + 상담 검토(진단 아님)
7,LF1V3,3,심화,L→0,F1→1,V3→3,앞머리선 변화 없음 (L) + 상부 전반 확산 (F1) + 정수리 희박 (V3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
9,LF2V1,2,중기,L→0,F2→2,V1→1,앞머리선 변화 없음 (L) + 상부 전반 확산 (F2) + 정수리 희박 (V1),경과관리 강화: 2~4주 간격 기록 + 상담 검토(진단 아님)
10,LF2V2,2,중기,L→0,F2→2,V2→2,앞머리선 변화 없음 (L) + 상부 전반 확산 (F2) + 정수리 희박 (V2),경과관리 강화: 2~4주 간격 기록 + 상담 검토(진단 아님)
11,LF2V3,3,심화,L→0,F2→2,V3→3,앞머리선 변화 없음 (L) + 상부 전반 확산 (F2) + 정수리 희박 (V3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
13,LF3V1,3,심화,L→0,F3→3,V1→1,앞머리선 변화 없음 (L) + 상부 전반 확산 (F3) + 정수리 희박 (V1),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
